zh_question,top_1,top_1_sim,top_2,top_2_sim,top_3,top_3_sim,top_4,top_4_sim,top_5,top_5_sim,gpt_pick,gpt_sim
470211739,pjh5a7,0.752,ra7up1,0.6396,bsa16b,0.6353,qxxjp0,0.635,sidzpx,0.63,pjh5a7,True
537232915,cfas5j,0.5513,kyft94,0.5503,r9i1b4,0.5356,cne9l2,0.5347,fnic5o,0.5034,r9i1b4,True
265885703,mjv7py,0.69,lvc083,0.6436,ipw42q,0.6406,ncocsz,0.6396,nqib5y,0.632,mjv7py,True
348223761,cayr0c,0.6323,chhtez,0.612,romugo,0.611,lc65ci,0.609,cxllby,0.607,romugo,True
361650357,sa998u,0.612,cup9eo,0.6055,lnlua7,0.5957,yfzv2m,0.588,h824an,0.588,lnlua7,True
309964242,g7mh7z,0.6016,f06vol,0.592,g02li5,0.576,nut4r4,0.574,izomze,0.569,izomze,True
31250528,c5eif9,0.5796,bng02j,0.5684,ud1vee,0.5566,x26ncd,0.5464,ddhch3,0.533,c5eif9,True
31368962,f9yc2w,0.5635,cf1jrd,0.5366,dkxz5o,0.534,kais0m,0.532,ftqms3,0.5254,f9yc2w,True
305327974,ja74mo,0.69,izcn4a,0.6753,kyi5ew,0.6294,dbd7dq,0.624,vd1wne,0.6226,izcn4a,True
438004151,yod5z8,0.765,vd0hq2,0.6133,e4lwsn,0.6006,cizzua,0.5684,vrhiny,0.565,yod5z8,True
387946837,fpygb8,0.66,fdd292,0.6343,ttw6na,0.6133,10z5fo3,0.589,uhdlo9,0.5854,fpygb8,True
588948150,ec2r1x,0.6323,qbah3p,0.6245,f1meu0,0.601,g4b4ly,0.5957,e42y71,0.5933,qbah3p,True
294805427,wm2oox,0.6455,fik41n,0.6216,l3iuo4,0.616,hz5qri,0.5825,yfbkl0,0.574,l3iuo4,True
442500879,ussx3u,0.656,v7uss9,0.637,jjh15l,0.637,h9nhk6,0.6367,euai8r,0.6265,h9nhk6,True
39322778,cqad7h,0.6343,wm2oox,0.6323,duc2ro,0.6313,qralmt,0.625,pemvcd,0.6196,duc2ro,True
340543248,dpbmyl,0.6167,kxlmic,0.616,qr8l7i,0.607,rrt457,0.602,scr7y7,0.5977,dpbmyl,True
19800571,fbapgh,0.6997,q15g6r,0.6772,dzaeed,0.6704,ty1xdz,0.6646,zpgsk6,0.662,zpgsk6,True
65585173,eayftg,0.6187,10fueh0,0.6187,lm9fzy,0.6104,bmchca,0.6074,msy50s,0.6045,eayftg,True
361533259,s6tqd7,0.6743,hyfumh,0.607,g22adp,0.6025,oisure,0.589,kutxsk,0.584,s6tqd7,True
424115950,bpyxcr,0.711,f9akr1,0.634,g3ewqj,0.6255,exifme,0.624,klvotg,0.6133,exifme,True
23147606,121x18w,0.5728,w2gvla,0.565,hl216a,0.562,k2i9ob,0.561,tlongr,0.5566,k2i9ob,True
423654385,z83aqf,0.6855,ka9rjt,0.656,h89wrc,0.638,u3c2gu,0.6343,bvhbmq,0.621,z83aqf,True
591538633,dz64qk,0.554,ecqak8,0.5483,gxjgoc,0.548,wqafkf,0.5444,dfgt96,0.539,dfgt96,True
483762445,h8uhmw,0.5596,tzjl8d,0.553,f4pom2,0.5415,unam7f,0.5376,sjacad,0.5337,tzjl8d,True
357937385,10e8vpj,0.6567,co9hxa,0.639,hr5rfi,0.625,uhdlo9,0.62,h824an,0.6177,hr5rfi,True
39464120,ey2sr0,0.7153,wjmz4p,0.6943,qkjps5,0.6904,cv18jx,0.679,d6wssb,0.675,cv18jx,True
537811377,duvgd7,0.707,cgdhen,0.6777,zhmu05,0.674,l47dr5,0.67,t7nr4x,0.639,zhmu05,True
417189232,f75qr6,0.576,c5o7gi,0.5757,lm9fzy,0.5747,jkricl,0.5522,ot1pfb,0.5435,f75qr6,True
423922499,cv3fbb,0.684,c1n3yx,0.62,bk65pc,0.612,dxupcu,0.608,oatgsa,0.6074,oatgsa,True
301387970,u8wxj8,0.6963,hcnygn,0.6924,es2c0b,0.69,m4adnh,0.677,11ijq9n,0.659,hcnygn,True
315812515,d11fwv,0.6685,u6gwww,0.6577,hlql4g,0.6523,uaabng,0.6484,f2bjrk,0.642,d11fwv,True
54641157,d71g9b,0.6475,ec6g5u,0.59,gzh2xe,0.5864,xmgl5x,0.5835,hvuv49,0.571,d71g9b,True
361737398,cmmrxd,0.6274,koy7k3,0.6045,bu5p9s,0.601,thg0t4,0.601,c8dx6k,0.5977,koy7k3,True
35365689,chq45j,0.689,i4lg1i,0.6753,od4diw,0.6616,ckm5fa,0.6567,khxfli,0.6543,chq45j,True
54048896,uuv8lb,0.669,tejfuo,0.6323,et1l9v,0.6313,wy0riv,0.6265,xy9yyb,0.625,uuv8lb,True
388959290,euvoax,0.66,oel1m2,0.646,vrhiny,0.6445,ip9mm9,0.642,sfrpyy,0.6143,sfrpyy,True
23786966,ec6g5u,0.6377,uvyo07,0.582,kp6d0j,0.5767,sbss7i,0.569,tw4vf5,0.564,kp6d0j,True
21475064,bpkv3f,0.64,g33mcz,0.6,ffsnus,0.5947,ctnnjq,0.5938,s91f9h,0.5923,bpkv3f,True
26637048,gxlgqs,0.6763,vq2mbw,0.6567,m1fnu5,0.6284,ck2ghq,0.6255,bprusd,0.623,vq2mbw,True
28281611,cwx1b4,0.818,u3ehpk,0.76,bn8omk,0.7188,rtuwma,0.6743,gj49qx,0.67,u3ehpk,True
266072022,oi2dq7,0.618,c5p7oz,0.609,xp76vr,0.599,g33mcz,0.596,ckor71,0.5933,ckor71,True
46753409,m1fnu5,0.7324,ey2sr0,0.7314,vh8oml,0.71,d6wssb,0.705,hzwvrt,0.6978,m1fnu5,True
591155542,w2gvla,0.556,rn0owo,0.54,fd99i0,0.539,pwolk6,0.517,hvn6s0,0.5166,w2gvla,True
21592677,py4lcr,0.599,d3zu12,0.5977,defjio,0.5566,kwpc93,0.5522,lm9fzy,0.5474,py4lcr,True
59934656,c5p7oz,0.749,ew9i6o,0.654,oi2dq7,0.61,hkdfb4,0.6045,f4kfb6,0.5913,c5p7oz,True
53123993,c86etu,0.6904,bzy909,0.687,mzypbr,0.6816,d3dar1,0.6597,nchao6,0.6416,nchao6,True
401679108,gv0rzx,0.6006,lb9zc4,0.595,pf015w,0.5933,by8x6f,0.5894,hyfumh,0.5796,pf015w,True
440519423,en1dyt,0.539,h8rvez,0.5337,onivkb,0.505,gexq51,0.4993,roktin,0.499,en1dyt,True
327277042,zdvvj8,0.6675,g81cw1,0.66,s3q28i,0.659,bpmngc,0.649,bpyxcr,0.6416,g81cw1,True
494168483,ernlah,0.5225,w6j9tr,0.514,qrupbd,0.506,dtjsrt,0.4915,ramxix,0.4814,qrupbd,True
589169612,vfibf2,0.745,gzo7ih,0.6084,i0ycdr,0.6,11sldug,0.5874,e5lzwv,0.5703,vfibf2,True
576233701,ej6vbm,0.6333,cqufgs,0.6284,pieb04,0.6104,esmxk8,0.61,dw0hr0,0.6094,esmxk8,True
31850351,fjcss8,0.6304,ve8ftl,0.63,cel5w2,0.6055,js8jl6,0.605,btwyzc,0.601,btwyzc,True
43778042,g7kssv,0.507,f0qgm4,0.4885,zi93fn,0.488,egk0nb,0.4836,czrtuc,0.4827,g7kssv,True
473098892,f504hg,0.655,cqufgs,0.629,i0tmwh,0.617,et3366,0.616,cb1cgk,0.6157,et3366,True
391798721,f92tk4,0.7183,egr7ie,0.6865,lfb1cr,0.6836,bkfi0g,0.6714,wcukvu,0.665,bkfi0g,True
395844139,ew9i6o,0.639,vso2s2,0.5713,pff5kc,0.5625,mr7ing,0.5435,ga8zzl,0.526,ew9i6o,True
27128132,f504hg,0.681,fl2s45,0.6084,yixeil,0.6074,dw0hr0,0.607,wcl78c,0.6064,f504hg,True
495421259,dl5yln,0.6777,p0o819,0.67,iwb83h,0.6587,owl9ko,0.653,z3nnns,0.6465,dl5yln,True
33468796,ka9rjt,0.6777,h89wrc,0.673,iwyvcw,0.649,edhdua,0.6484,panc3i,0.645,iwyvcw,True
577828278,exa67w,0.607,siuqib,0.593,zbobwz,0.582,cyc7ix,0.574,u66ujo,0.5723,zbobwz,True
66349453,f9mhha,0.691,c70f6j,0.657,uypjie,0.651,irugt4,0.606,v75klb,0.6016,c70f6j,True
36740208,dbk13p,0.545,kko1wf,0.5337,eujk9g,0.5337,hlq4at,0.5244,c88myr,0.5205,dbk13p,True
20123870,c5k6s6,0.632,f15h1t,0.617,du7r7u,0.6157,gzvvwn,0.6,jkricl,0.588,f15h1t,True
338439269,f65b3b,0.588,mfvgar,0.583,fhg3m8,0.5625,fdwz2w,0.5503,v7uss9,0.5474,fhg3m8,True
36349460,q15g6r,0.655,dzaeed,0.638,fbapgh,0.61,ty1xdz,0.6,dokoxl,0.593,dokoxl,True
589750453,vmitwi,0.601,d4m6bu,0.5884,clgw93,0.5586,o0o57z,0.5586,g5g9km,0.553,d4m6bu,True
275279177,clgw93,0.6343,rkkre0,0.631,p8oo95,0.6304,f6wpu4,0.63,l91pml,0.6274,l91pml,True
27182640,euvoax,0.68,sad7k6,0.6255,oel1m2,0.6123,sexk6i,0.608,gq6p5l,0.599,sexk6i,True
292520494,d0097a,0.698,gzh2xe,0.663,g9a67r,0.652,ep1v3i,0.617,cz50mf,0.611,g9a67r,True
587133388,olyjsh,0.5723,ob2sc3,0.559,y1rffu,0.5527,m8r0o0,0.521,xg02dl,0.519,ob2sc3,True
515615854,ctlb24,0.6284,zb6y2v,0.6157,pr6el8,0.599,q3r2w2,0.5825,i8rbn0,0.581,pr6el8,True
50753787,dnk6dh,0.576,fw4wtl,0.5366,qde4ug,0.535,mpnawc,0.527,i0qdmb,0.524,fw4wtl,True
27400823,fd9ivb,0.5693,f416aw,0.5684,c1n3yx,0.564,dxupcu,0.554,u66ujo,0.5493,f416aw,True
36142226,omx323,0.5845,ee4hsh,0.5684,el9yas,0.5586,bzl2ue,0.5513,y6ucwq,0.549,omx323,True
385893051,xyqc4q,0.5244,iu7sz5,0.5225,csrovt,0.5137,xlq8xk,0.51,f8yv7h,0.5034,xyqc4q,True
24919044,fw9ztk,0.4944,d4d7hw,0.4602,n4w8xo,0.4575,csy9w5,0.4521,e7evsp,0.449,fw9ztk,True
31852338,pgntkp,0.6313,fcmw42,0.601,e6hcu9,0.589,nuny7g,0.58,dgfgf8,0.571,pgntkp,True
24383344,or3rj4,0.604,p1weh2,0.5767,skd3tn,0.5737,1268y91,0.5522,dz620u,0.552,p1weh2,True
34396382,hc2oet,0.7095,g23hne,0.6978,jx9ib9,0.6953,rh1cv9,0.676,nm8gc7,0.673,jx9ib9,True
21052915,or3rj4,0.6104,nfantr,0.605,gs1geh,0.5947,wa403j,0.5913,e1i0zh,0.589,e1i0zh,True
587238212,czuw7n,0.593,drc303,0.589,e3zdv6,0.547,w4i2mr,0.544,ezxf6h,0.543,drc303,True
322173709,clgw93,0.676,k8erns,0.6685,glghwn,0.663,heah7z,0.65,p9kl5s,0.646,k8erns,True
19866051,kfinl5,0.584,lm9fzy,0.5396,g08gay,0.532,11g8o03,0.523,odeqsx,0.5176,odeqsx,True
336502777,euy7f8,0.6724,p16bvh,0.6357,g33mcz,0.6333,oo31iw,0.629,cv3fbb,0.625,p16bvh,True
330877431,p8oo95,0.673,cvr6am,0.672,pe664l,0.667,jbhqqw,0.6665,covu54,0.6646,covu54,True
264991555,bozhub,0.5527,p57l5p,0.51,mhxqr1,0.5073,cubdgb,0.4995,elbzmk,0.499,bozhub,True
554624797,hmmx1w,0.6714,e1l1jf,0.662,dk3paa,0.626,x26dzx,0.615,cuedy6,0.6064,hmmx1w,True
417083843,dt7vys,0.572,doitg1,0.567,doghxg,0.567,cx4jr7,0.5527,ddv4rk,0.544,cx4jr7,True
388955480,c5p6c8,0.5884,m05foe,0.5527,zb6y2v,0.5522,v2z0zv,0.5513,10r7ccg,0.5444,m05foe,True
389286074,gybhkl,0.611,fbapgh,0.5723,t03y7b,0.572,kcrl4q,0.5684,cqzyfm,0.5664,t03y7b,True
21116603,mzypbr,0.656,d2v3up,0.6533,c86etu,0.6445,c8qd5f,0.644,ebuzu3,0.636,ebuzu3,True
316578940,elx0co,0.601,t8ykkv,0.57,btsq18,0.5435,jjmrmv,0.536,da5t24,0.5317,elx0co,True
20359445,cfas5j,0.5664,kyft94,0.5654,pcrnj0,0.5513,nuzyht,0.537,dxgwaf,0.535,pcrnj0,True
42048863,e57dh5,0.6045,ni1qhd,0.5425,wf1xpl,0.5366,rojdms,0.5303,fhcdhv,0.5283,ni1qhd,True
589018330,xyzwpx,0.5684,emq3nv,0.562,dk4sgi,0.555,y1rffu,0.549,sjacad,0.5366,dk4sgi,True
357745479,jdvgjr,0.691,pq8plv,0.687,xsjhcw,0.6665,jdxbqd,0.6553,epoirz,0.6543,jdvgjr,True
297324329,o9oduw,0.6123,e86vv1,0.6123,c238qs,0.6094,cqufgs,0.6064,rkom1a,0.6045,e86vv1,True
382263333,f4rph3,0.653,gmmpxj,0.6167,s5uimg,0.609,rt5qcz,0.607,lcjvbh,0.5957,s5uimg,True
27856250,nd3ebw,0.4893,ek78cr,0.457,bre4dr,0.4504,eean37,0.4424,bzbt5r,0.4404,ek78cr,True
49529641,eopf16,0.7236,gv8sjh,0.5938,ftl2ud,0.5796,ctgrqo,0.5757,ip9mm9,0.566,eopf16,True
309733749,jj6jsd,0.647,hykgau,0.6436,iad3zy,0.641,g8hwqy,0.6406,ei7ym9,0.6396,jj6jsd,True
54265751,epq8yg,0.673,jb2cnp,0.6113,qydqs0,0.599,dzaeed,0.5957,hco9kh,0.5947,jb2cnp,True
311011619,c2h63k,0.651,dv4lw1,0.5903,dvpnr3,0.5703,dh0zk4,0.567,p8oo95,0.5625,c2h63k,True
373439842,diq1m1,0.6157,hu3rrl,0.6143,s1vra6,0.6123,hyfumh,0.6055,co92i3,0.59,s1vra6,True
315194451,uv3ll5,0.6426,bnhhdt,0.6177,em29tv,0.6143,db47vc,0.6104,s2h2ux,0.6104,uv3ll5,True
327070437,dxvn09,0.4954,cqsf8q,0.489,qm7xqi,0.4846,panc3i,0.4788,eyxial,0.4739,cqsf8q,True
19965963,s5s6q2,0.5454,exhraq,0.5337,eh0dsz,0.4663,cvhaz5,0.4578,f33fyg,0.454,s5s6q2,True
269106089,tpl82f,0.7114,br4l1e,0.6636,106izix,0.632,eaeltd,0.621,dw77kg,0.62,tpl82f,True
29388240,uz8ceu,0.649,myq6mc,0.6255,lq5dje,0.6255,bnes0l,0.614,dvpnr3,0.6074,myq6mc,True
277361699,ppndtt,0.6704,hn9y2f,0.62,j9gqqo,0.5913,d0t0sv,0.588,xfwbxf,0.5757,j9gqqo,True
23007595,ce3mwj,0.5776,yu2odn,0.5767,id6c87,0.5713,d1l4cj,0.569,lx67rq,0.561,ce3mwj,True
411106073,pwo8uz,0.601,f4uwca,0.5933,jkwliz,0.59,ihdpx3,0.5884,i3nzor,0.5845,f4uwca,True
460046314,yekul1,0.6,f428le,0.598,f4a91p,0.593,e2f13o,0.592,bk65pc,0.5796,yekul1,True
545467758,w0f0yf,0.4895,djqnxx,0.475,hpqe7q,0.4722,wshoq3,0.4714,nz9vev,0.4697,hpqe7q,True
23229992,hgoqo0,0.6177,lk0l2i,0.593,v7grja,0.574,gzh2xe,0.5723,r73b2n,0.572,r73b2n,True
24192778,mzypbr,0.6587,c072h3,0.655,myr8q3,0.653,c86etu,0.6514,urow2h,0.6445,myr8q3,True
323058851,crivll,0.637,exp7ik,0.631,ornrzt,0.626,lanlwv,0.626,11lauso,0.624,lanlwv,True
24699538,djij4n,0.707,bsohxj,0.619,xu5xhm,0.6157,kkqn50,0.6123,c7i4rw,0.607,djij4n,True
21682910,uhjw79,0.6826,wm2oox,0.611,w72q1d,0.5986,oxfmcq,0.596,df21bl,0.5864,w72q1d,True
444888990,ka9rjt,0.6367,edhdua,0.622,k6yuc4,0.618,11vxgha,0.604,cxc6ss,0.6016,11vxgha,True
395102065,evfyp6,0.652,glghwn,0.618,knf25r,0.6147,ud1vee,0.6123,f4bwoy,0.612,evfyp6,True
37945596,gtjszy,0.5884,tbd6ei,0.5693,ntght6,0.569,p70no6,0.568,qgijwi,0.5605,p70no6,True
62381279,qowpgm,0.6733,ttw6na,0.6567,rsqvyq,0.6553,rup2og,0.6416,gnk06g,0.6406,rsqvyq,True
23046588,i8wpiw,0.617,dfnxgn,0.601,sv3fev,0.599,ddarbz,0.599,nve6kw,0.59,i8wpiw,True
266298382,e33zpu,0.602,epq8yg,0.5947,uzozat,0.592,g33mcz,0.5864,qv7b6a,0.585,e33zpu,True
47120258,nt3knv,0.5557,fv7wqd,0.506,yixeil,0.4995,ko7i19,0.487,ilk8jf,0.485,ilk8jf,True
570694282,f6po0c,0.568,l8t1yw,0.517,fx7lyg,0.503,gnpyra,0.502,h89wrc,0.4944,l8t1yw,True
357406428,m9qg3j,0.6455,hep2z4,0.638,u66ujo,0.635,g6c84l,0.6323,dj8lky,0.632,dj8lky,True
310330756,cfas5j,0.6484,kyft94,0.631,fnic5o,0.609,c8epbl,0.603,fxiuqr,0.585,cfas5j,True
572807944,hyfumh,0.8296,ecwu9n,0.71,kvdibw,0.6997,t6srt0,0.6978,co92i3,0.687,hyfumh,True
21960857,bquzrl,0.6846,djv825,0.66,oeiber,0.653,dfz7ao,0.652,fdlba6,0.651,djv825,True
281910658,hbqhnj,0.6543,dxymsk,0.65,bywhpp,0.6406,e9e7jz,0.6387,11g4sut,0.6367,hbqhnj,True
589806524,dptw19,0.5903,gpyqg4,0.584,cu3bje,0.5815,hc2oet,0.58,fbj2ku,0.571,cu3bje,True
25257220,qhpumh,0.7207,cobveb,0.619,kd7kdy,0.5874,d4nw84,0.586,hjt9dg,0.578,qhpumh,True
415282087,epq8yg,0.6357,larano,0.634,fbapgh,0.6157,ktxezd,0.6147,te2yw1,0.612,ktxezd,True
59597785,nfantr,0.6357,l5mnm2,0.622,10ao27m,0.617,gs1geh,0.617,rqssfs,0.6074,10ao27m,True
582591957,x26ncd,0.5005,ca5njt,0.4768,elviio,0.4712,bng02j,0.4658,uex1f2,0.4604,elviio,True
29621257,uncip7,0.557,eyztft,0.546,v57q9q,0.5396,gww5c9,0.5386,ea6fgu,0.5356,gww5c9,True
365657997,dw0hr0,0.707,m9qg3j,0.683,fpwago,0.635,xi2hc0,0.634,u66ujo,0.632,m9qg3j,True
30658710,rojdms,0.7856,dih707,0.71,en7dvb,0.6377,k05r3o,0.622,s0l2y7,0.6006,rojdms,True
479886017,m065os,0.684,ddarbz,0.6763,czpv1t,0.6724,hxgv91,0.67,do0wzt,0.6626,hxgv91,True
35188267,wjmz4p,0.736,ey2sr0,0.713,ck2ghq,0.681,h9w2c4,0.6763,sx0c5l,0.67,h9w2c4,True
349861285,ekmlux,0.5664,gazfh6,0.5444,uqnazl,0.537,f4eu5i,0.533,dhooq6,0.5317,f4eu5i,True
31085992,dzaeed,0.5894,o0qacv,0.5835,ttw6na,0.5815,ic1uey,0.58,dfnxgn,0.5776,ic1uey,True
68008451,dj6nog,0.569,1262yjd,0.494,dmzez9,0.49,m3lppb,0.4895,duqh9t,0.4895,dj6nog,True
22763300,kqoq7u,0.737,h91gqg,0.657,etzxd8,0.6504,nqzl9f,0.6387,bwp0oh,0.638,kqoq7u,True
352956139,d6msub,0.655,rxz7pb,0.6543,y9cdoa,0.6543,jfei5s,0.65,11o8ykb,0.6494,11o8ykb,True
35112627,ivy9y0,0.611,buuu83,0.598,jsye5y,0.595,dj9xak,0.591,pebbpl,0.587,dj9xak,True
288735321,j7milx,0.755,hjshkl,0.7417,ouh5kd,0.6523,e43wd2,0.652,dal8lm,0.6465,j7milx,True
340649774,fky5mr,0.777,f58jnt,0.6255,qbepu4,0.624,10pvol8,0.581,vj1qmo,0.5747,fky5mr,True
544611492,wshoq3,0.5386,tkk1de,0.5317,dmmyz6,0.526,ujfnkf,0.526,ppndtt,0.521,wshoq3,True
40827149,crknh4,0.5996,e5mjc2,0.5947,dgrnip,0.576,odj73i,0.574,j7npaa,0.5728,crknh4,True
20295654,bn4864,0.626,eoo77p,0.6226,c7zwgp,0.5996,o9nr1p,0.5986,htahdr,0.596,eoo77p,True
371135987,f3cznb,0.577,capntg,0.575,fyddmd,0.569,f4zrkg,0.5625,xy5jr7,0.556,f3cznb,True
372585155,hx66do,0.575,hten8k,0.4958,fn8cpn,0.4932,br426u,0.484,gpvjny,0.4773,hx66do,True
53304261,kyi5ew,0.637,qoienl,0.6313,gz8fsf,0.622,bxcydu,0.619,bzdmwr,0.6157,bxcydu,True
23618745,sv3fev,0.6577,ko7i19,0.6562,jkricl,0.5864,bxpbft,0.586,n2xv89,0.5854,bxpbft,True
322313289,j6klwa,0.6387,do95xw,0.6284,juj0jy,0.6045,ua70bk,0.6016,qo047f,0.5977,qo047f,True
31044894,ftl2ud,0.6606,ip9mm9,0.626,groalj,0.61,dougeu,0.6094,cooa6t,0.595,ip9mm9,True
334784977,kyft94,0.647,tdggqz,0.6045,d8bota,0.5845,fxiuqr,0.577,nuzyht,0.5703,kyft94,True
358335198,exdqbg,0.573,ec8hjk,0.5713,d7ma6r,0.57,wu8d6j,0.562,fwauwp,0.5527,wu8d6j,True
37509228,d8t02d,0.59,iy4050,0.5747,uvnajq,0.572,mu4nah,0.564,p1y3r6,0.5635,uvnajq,True
19714784,oi2dq7,0.615,f4kfb6,0.5547,hkdfb4,0.5547,nwj2ug,0.5483,wls07o,0.5454,wls07o,True
24518251,q8blwe,0.6333,d2v3up,0.614,br415g,0.605,c8qd5f,0.594,hpby1m,0.592,d2v3up,True
310746111,ka9rjt,0.567,fb63zy,0.5566,ejkh6x,0.552,gz8fsf,0.5454,up9lc9,0.5454,up9lc9,True
320597278,deivt2,0.5464,dt7vys,0.5415,ddv4rk,0.54,doghxg,0.5366,doitg1,0.5366,doghxg,True
402152624,imw8bq,0.6475,gb5jvf,0.6,jiw8jy,0.5923,i6iga6,0.5723,ev1kek,0.555,gb5jvf,True
311383783,euvoax,0.6396,vrhiny,0.6387,llyjut,0.603,fkujde,0.6016,ginau5,0.6,fkujde,True
385930567,epq8yg,0.6387,k6yuc4,0.6216,10mfmwv,0.6196,ka9rjt,0.6167,fbapgh,0.6123,fbapgh,True
271865242,fdm6vm,0.6523,mq2dbn,0.6187,ofy9gh,0.6177,nxvrr8,0.615,jfdo4v,0.599,ofy9gh,True
582877240,f9mhha,0.6567,hl216a,0.6235,uypjie,0.616,c4l3vz,0.6064,yvm0al,0.6064,yvm0al,True
398066516,jtnvl6,0.665,lyhpra,0.6533,e5549p,0.6377,fbwc3g,0.6377,ip8ihp,0.635,lyhpra,True
528821406,w5aygp,0.632,fedxib,0.6313,jg66rq,0.6196,wz0qxo,0.6157,h824an,0.6133,w5aygp,True
353868175,mn4inh,0.6675,e9d9pd,0.6245,xf8jzp,0.6245,kged33,0.623,bjvpis,0.619,mn4inh,True
268218204,g5j1y4,0.5503,c1c136,0.5205,npf59q,0.5176,v5f5sf,0.5146,cvhgxr,0.5083,c1c136,True
430970272,txv92d,0.607,wevc1l,0.607,dih707,0.5815,fthnok,0.579,erod8g,0.57,wevc1l,True
263895813,f92tk4,0.69,flrzze,0.689,m1oybb,0.652,fxiuqr,0.64,ttdehb,0.632,ttdehb,True
396016051,cwi7zy,0.782,fgmn1v,0.7446,z1o20x,0.7036,w3hsu9,0.7026,t6fy81,0.6943,fgmn1v,True
402112603,dqfxxt,0.636,pknlpq,0.6094,gjpup7,0.6064,fv9syt,0.6016,edahq9,0.601,fv9syt,True
536511177,kn07nb,0.5996,lm9fzy,0.556,vd0hq2,0.543,buuu83,0.5337,euvoax,0.528,kn07nb,True
482246043,mi6pm6,0.578,txv92d,0.5757,ufbequ,0.555,n3t5xj,0.55,jg66rq,0.5454,ufbequ,True
482161436,fnic5o,0.671,ncrw5d,0.615,cne9l2,0.6064,bjxhp8,0.5938,hb4vgn,0.576,fnic5o,True
38002715,dkrgpe,0.637,u3eukq,0.6113,gq04cx,0.604,nr5du5,0.5903,eokel6,0.59,u3eukq,True
27845623,i9ah6y,0.7144,ja0vtl,0.6846,fg398k,0.6597,f0fxtv,0.6396,v7ipe0,0.638,fg398k,True
20991744,qlklnj,0.675,p8oo95,0.654,jkm508,0.6,n2xv89,0.5854,p5cd6z,0.5806,jkm508,True
46357130,hjpo03,0.622,ecqak8,0.585,x38bnp,0.573,hvtwqs,0.564,wdgy5x,0.5596,hjpo03,True
21931584,u8wxj8,0.6675,sudptu,0.6553,jeub4h,0.6504,t0kn8s,0.65,clgw93,0.647,t0kn8s,True
438028834,hra696,0.611,fi0ezz,0.5854,leqax6,0.581,dt8c8e,0.5806,bsru49,0.5786,leqax6,True
21097563,u4d31r,0.644,eyt559,0.642,jp9hk0,0.636,xf3kws,0.6245,ntkrk4,0.612,xf3kws,True
